scenario,sa4_code16,age_band_id,vaccine,time_dose_1,time_dose_2,num_people
19,109,3,1,47,50,1619
19,109,3,1,46,49,2048
19,109,4,1,41,44,1659
19,109,4,1,42,45,1599
19,109,4,1,40,43,1530
19,109,5,1,34,37,1581
19,109,5,1,38,41,429
19,109,5,1,35,38,1050
19,109,6,1,36,39,1003
19,109,6,1,37,40,284
19,109,7,1,35,38,350
19,109,7,2,34,46,686
19,109,9,1,34,37,140
19,109,2,1,48,51,545
19,109,2,1,47,50,706
19,109,3,3,46,50,595
19,109,3,1,49,52,818
19,109,6,1,38,41,468
19,109,6,1,34,37,1347
19,109,7,2,26,38,1063
19,109,8,2,24,36,640
19,109,8,2,27,39,659
19,109,9,2,31,43,208
19,109,5,1,33,36,504
19,109,2,1,49,52,386
19,109,3,3,48,52,419
19,109,5,1,23,26,61
19,109,6,1,31,34,136
19,109,6,1,35,38,969
19,109,6,1,33,36,467
19,109,7,2,33,45,922
19,109,7,2,35,47,506
19,109,8,1,36,39,160
19,109,8,2,16,28,74
19,109,3,1,48,51,1180
19,109,5,1,37,40,287
19,109,6,2,13,33,48
19,109,7,1,36,39,297
19,109,7,2,27,39,1337
19,109,8,1,33,36,81
19,109,9,2,29,41,144
19,109,2,1,46,49,937
19,109,4,1,43,46,1193
19,109,4,3,42,46,256
19,109,5,1,31,34,242
19,109,5,1,36,39,1044
19,109,6,1,39,42,418
19,109,7,2,31,43,710
19,109,7,1,24,27,53
19,109,8,2,13,33,263
19,109,8,2,34,46,344
19,109,9,2,20,32,321
19,109,9,2,35,47,186
19,109,8,2,33,45,469
19,109,7,2,25,37,823
19,109,8,1,34,37,225
19,109,8,2,35,47,265
19,109,9,2,36,48,136
19,103,2,3,47,51,460
19,103,3,3,48,52,732
19,103,3,1,46,49,3834
19,103,5,1,34,37,3167
19,103,6,1,35,38,2041
19,103,7,1,36,39,514
19,103,9,1,37,40,40
19,103,5,1,33,36,1731
19,103,7,1,34,37,959
19,103,8,2,27,39,789
19,103,2,1,32,35,71
19,103,2,1,51,54,369
19,103,3,1,49,52,1608
19,103,3,1,50,53,1181
19,103,3,1,47,50,2897
19,103,3,1,48,51,2219
19,103,4,1,40,43,3809
19,103,4,1,41,44,3604
19,103,4,1,44,47,1467
19,103,4,3,45,49,322
19,103,4,1,43,46,1817
19,103,4,1,42,45,2657
19,103,5,1,32,35,702
19,103,5,1,30,33,268
19,103,5,1,37,40,482
19,103,5,1,41,44,1388
19,103,6,2,29,41,578
19,103,6,1,33,36,1536
19,103,6,1,36,39,1677
19,103,6,1,34,37,2739
19,103,6,1,38,41,847
19,103,6,1,37,40,499
19,103,7,2,27,39,1605
19,103,7,2,19,31,426
19,103,7,2,26,38,1394
19,103,7,2,37,49,454
19,103,7,2,34,46,1118
19,103,8,2,34,46,542
19,103,8,2,38,50,166
19,103,8,2,33,45,689
19,103,8,2,36,48,316
19,103,8,1,39,42,186
19,103,9,2,33,45,581
19,103,9,2,35,47,297
19,103,9,1,35,38,212
19,103,9,1,33,36,158
19,103,9,1,36,39,200
19,105,2,1,48,51,564
19,105,2,1,47,50,733
19,105,2,1,50,53,291
19,105,2,3,52,56,44
19,105,3,3,51,55,151
19,105,3,1,46,49,2524
19,105,3,3,47,51,463
19,105,3,3,49,53,275
19,105,4,1,23,26,123
19,105,4,1,43,46,986
19,105,4,3,45,49,173
19,105,4,1,42,45,1557
19,105,4,1,41,44,1865
19,105,4,1,40,43,2210
19,105,4,1,44,47,907
19,105,5,1,31,34,396
19,105,5,1,32,35,440
19,105,5,1,35,38,1226
19,105,5,1,34,37,1701
19,105,6,2,32,44,102
19,105,6,3,43,47,84
19,105,6,3,46,50,64
19,105,6,1,36,39,970
19,105,6,1,34,38,187
19,105,6,1,34,37,1751
19,105,6,3,42,46,101
19,105,6,1,40,43,686
19,105,7,1,39,42,203
19,105,7,1,35,38,449
19,105,7,1,42,45,164
19,105,7,1,34,37,623
19,105,7,1,48,51,35
19,105,7,2,25,37,387
19,105,7,2,33,45,1058
19,105,8,2,35,47,335
19,105,8,2,34,46,471
19,105,8,2,33,45,633
19,105,8,2,37,49,191
19,105,8,2,36,48,239
19,105,8,2,38,50,123
19,105,9,2,34,46,291
19,105,9,2,39,51,52
19,105,9,2,33,45,398
19,105,9,1,28,33,1
19,105,3,3,48,52,367
19,105,3,1,47,50,1969
19,105,3,1,49,52,1093
19,105,3,3,46,50,606
19,105,3,1,50,53,786
19,105,4,3,44,48,178
19,105,4,1,45,48,808
19,105,5,2,19,31,93
19,105,5,1,42,45,514
19,105,5,3,43,47,82
19,105,5,1,40,43,665
19,105,6,2,27,39,432
19,105,6,2,19,31,179
19,105,6,2,25,37,232
19,105,7,2,26,38,600
19,105,7,2,21,33,111
19,105,7,2,35,47,596
19,105,7,2,24,36,348
19,105,8,1,34,37,397
19,105,8,1,33,36,211
19,105,9,2,22,34,164
19,105,9,2,19,31,221
19,105,2,3,48,52,131
19,105,2,3,47,51,199
19,105,2,1,52,55,152
19,105,2,1,46,49,915
19,105,3,1,53,56,293
19,105,3,1,51,54,597
19,105,3,1,48,51,1446
19,105,4,3,42,46,231
19,105,4,3,46,50,126
19,105,5,1,43,46,363
19,105,5,1,34,38,169
19,105,5,1,44,47,308
19,105,5,3,44,48,76
19,105,5,1,35,39,17
19,105,5,1,41,44,635
19,105,5,1,36,39,971
19,105,5,3,47,51,55
19,105,5,1,33,36,911
19,105,6,1,32,35,473
19,105,6,2,30,42,42
19,105,6,1,42,45,538
19,105,6,1,43,46,345
19,105,6,1,41,44,608
19,105,6,3,45,49,86
19,105,7,2,27,39,689
19,105,7,2,28,40,609
19,105,7,2,36,48,433
19,105,7,2,34,46,808
19,105,7,3,49,53,8
19,105,7,1,36,39,366
19,105,8,2,26,38,384
19,105,8,2,11,23,3
19,105,8,2,23,35,374
19,105,9,2,13,33,64
19,105,2,3,53,,28
19,105,3,1,21,24,16
19,105,3,1,24,27,44
19,105,3,1,52,55,439
19,105,3,3,50,54,214
19,105,4,1,47,50,418
19,105,4,1,49,52,196
19,105,5,3,46,50,57
19,105,5,1,39,42,610
19,105,6,2,13,33,44
19,105,6,1,30,33,110
19,105,6,1,19,33,2
19,105,6,2,26,38,360
19,105,6,2,28,40,465
19,105,6,1,35,38,1276
19,105,6,3,44,48,81
19,105,6,1,33,36,980
19,105,7,2,29,41,461
19,105,8,2,21,33,214
19,105,8,2,19,31,295
19,105,8,2,17,29,90
19,105,8,2,22,34,346
19,105,8,1,45,48,64
19,105,9,1,34,37,222
19,105,2,3,50,54,90
19,105,3,1,23,26,87
19,105,3,3,53,,74
19,105,4,2,31,43,17
19,105,4,1,48,51,298
19,105,5,2,23,35,13
19,105,5,3,45,49,60
19,105,5,1,46,49,182
19,105,5,1,52,55,31
19,105,6,1,45,48,324
19,105,6,1,39,42,665
19,105,7,3,44,48,29
19,105,7,2,37,49,269
19,105,7,2,40,52,98
19,105,7,2,38,50,209
19,105,7,2,39,51,146
19,105,8,2,28,40,333
19,105,8,1,43,46,68
19,105,8,1,40,43,144
19,105,9,2,28,40,134
19,105,2,3,46,50,226
19,105,2,1,51,54,200
19,105,4,2,19,31,64
19,105,4,3,43,47,215
19,105,4,3,52,56,22
19,105,5,3,42,46,88
19,105,5,1,49,52,80
19,105,6,2,29,41,218
19,105,6,3,47,51,49
19,105,6,1,34,39,7
19,105,6,1,35,39,13
19,105,7,2,31,43,541
19,105,7,3,42,46,34
19,105,7,1,46,49,76
19,105,8,2,27,39,459
19,105,8,1,41,44,160
19,105,8,1,44,47,59
19,105,9,2,20,33,66
19,105,9,1,18,21,8
19,105,4,3,48,52,74
19,105,4,1,46,49,437
19,105,5,3,53,,12
19,105,6,2,31,43,86
19,105,7,2,18,30,159
19,105,7,1,34,38,50
